answer_id,q_num,max_pts,new_pts,new_reasoning,student_answer
f38d8409-13bc-4861-8a41-8bf79a3c222b,21,4,3,"[partial] The definition is correct and clearly stated ('what each row in a dataset represents'). The example gestures at two different units (platform-level vs recruiter-level) from the same JobMatch data, but it's framed more as different audiences/metrics than as cleanly distinct units of observation like event vs candidate vs job. The example is on the right track but vague about what each row would actually represent at each level, so it falls short of full credit.","A unit of observation is what each row in a dataset represents. The same data can support multiple units, and it depends on the choice you make. For example, taking the jobmatch platform in mind, the overall hire rate can be meaningful to the COO, but to a recruiter screening 12 applications, it won't find meaning in the platform-level number. So in this example, the platform metric and the recruiter metric measure the same reality but use different units of observation from the same dataset. "
c50927f3-292e-4dea-b99a-788603761c09,22,4,4,"[full] The student clearly identifies the feedback loop (rejected applicants disappear, no outcome to learn from) and explains the compounding consequence (each cycle narrows the training population toward profiles the model already favored, increasing bias over time). Both required components of the full-credit rubric are present, expressed in clear plain language.","The bank only ever observes outcomes for applicants it approved, so the rejected applicants disappear from the training data entirely. Hence, there's no outcome to learn from. When the model retrains the next year, it's working from a dataset that its own previous decisions have already filtered. Each cycle then narrows the training population further towards the profiles the model already favoured. Hence it becomes more biased overtime even if no one ever programs bias into the system. "
5ca7b3b2-ff11-4a7b-951c-7c9859ddb605,23,4,4,"[full] The student clearly articulates the core insight that the level/specification of analysis determines the pattern observed, and unifies all three phenomena as the same operation (aggregating up vs. disaggregating vs. conditioning). They support it with two concrete examples (Berkeley, HR gender coefficient) and end with the meta-lesson about matching the level to the question. This meets the full-credit criteria.","They're all the same idea. The level at which you look at the data determines what pattern appears. In the Berkeley admissions example, the aggregate showed bias against women, but within every department, women were admitted at higher rates, as they just applied to more selective departments. In the HR data, the gender coefficient vanished once you controlled for training scores. So if you aggregate up, you get one answer. If you disaggregate or condition on 3rd variable, you get the opposite. So the main skill is knowing which level actually matches the question you're trying to answer. "
69ba2f0e-67cd-409c-8f60-baa358538818,24,4,4,"[full] The student correctly identifies that gender's effect is absorbed by training attendance and explicitly notes the diagnosis shifts — the problem isn't at the promotion decision but upstream in attendance differences. They also avoid the common wrong answers by stating 'this doesn't mean there isn't a problem,' just that the question has moved. This satisfies both pieces of the full-credit rubric.","When you add training attendance to the model and the gender coefficient disappears, it means gender wasnt directly driving promotion, the training scores were and men in the data set attended fewer trainings. The aggregate looked like gender bias but it was really a story about unequal access to or participation in training. The diagnosis and remedy are completely different depending on which model you look at. This doesnt mean there isnt a problem, it shifts the question to why men attended fewer trainings but you cant see any of that without conditioning on the right variable. "
e36a48c1-2811-4559-92fb-8283f488643a,25,4,4,"[full] The student clearly defines bias as a specification problem (missing variables, systematic error) and variance as sample sensitivity. They provide correct fixes for each: add variables for bias, simpler models or more data for variance. They also correctly note that more data won't fix bias, showing understanding of why the two are not interchangeable.","Bias is a specification problem; the model is systematically wrong because something important is missing, and adding more data won't fix it. Variance is a sample sensitivity problem, so the model changes its answers depending on which training data it happens to see. They're not interchangeable because the fixes to both go in opposite directions. To fix bias, you need to add the right variables or make the model more flexible; however, to fix variance, you have to make simpler models or add more data. "
0b501441-30f5-45f3-8fe0-3f12dd9af496,26,4,4,"[full] The student clearly articulates the memorization-vs-generalization distinction with a concrete example (reverse-engineering from one practice problem), and explicitly connects the train/test split to its purpose: exposing whether the model learned the pattern or memorized by testing on unseen data. Both rubric requirements for full credit are met.","A model can get perfect training accuracy by memorizing specific examples it was given rather than learning the underlying pattern, for example, the student who reverse-engineered the rule from a single practice problem. The rule fits the example but breaks immediately on a new one. So the train/test split exists to catch it. If the model performs well on data it's seen but fails on other data, it reveals that it has memorized rather than learned. "
5a22a80e-3237-4cdd-aa94-a5c0f0e97ce7,27,4,4,"[full] The student clearly articulates the conceptual point that residuals can carry signal — 'a variable nobody has measured yet' and 'strategic insights waiting to be interpreted.' They also provide the soccer auction example, identifying the residual as the part of price that on-field performance can't explain (i.e., celebrity appeal). This meets both the conceptual and example criteria for full credit.","Residuals are where the real insight lives because it is something the model can't explain. It can be noise or a variable nobody has measured yet. In a lot of companies, the most strategic insights are residuals that are waiting to be interpreted. For example, if you regress price on on-field statistics, the residual is the part of price that performance can't explain."
3e6271da-cf5a-43d7-8d33-01e5e750649f,28,4,4,"[full] The student correctly frames both sides: high recall when false negatives are costly (COVID test example is excellent) and high precision when false positives are costly (churn campaign with expensive discounts is a strong example). Both examples are concrete and plausible, and the bonus definitions of precision and recall at the end show genuine understanding. This meets all criteria for full credit.","I would prefer high recall when you cannot afford to miss a true positive. The cost of a false negative is too high, for example, the covid test. A false negative would send a sick person back into the world, which is unrecoverable. I would accept more false positives to make sure to catch everyone who's actually sick. I would prefer high precision when the cost of a false positive is too high. In a churn prevention campaign offering expensive discounts, flagging loyal customers who were never going to leave wastes budget and may actually annoy them into leaving. Precision asks ""of the ones I picked, how many were right?"" and recall asks ""of all the ones I should have caught, how many did I miss?"" "
85a51b3b-2dfd-476d-8ba6-4364133c18c1,29,4,4,"[full] The student clearly describes the mechanism: as features grow, the space becomes sparse and every customer looks unique/different from every other, making 'similar' meaningless. They also name it 'dimensionality' (shorthand for curse of dimensionality) and bonus-mention PCA/embeddings as the remedy. Full credit per the rubric.","This is called dimensionality. As you add more features, the data space expands so fast that your data points become sparse. For example, if we add age to gender, it will create useful separation, but by the time you're at 25 features, every customer will become very unique, and every customer will appear different to one another, so the question will become unanswerable. Essentially, because in high enough dimensions, no one is similar to anyone. PCA, embeddings, and matrix factorization exist to deal with this one problem so we can find the low-dimensional structure that actually carries the signal."
7242d189-ffe2-43b6-a720-622782408c21,30,4,2.5,"[partial] The student clearly identifies the 'dense interactions' condition with a strong Spotify-vs-loan contrast (lots of plays/skips vs. one outcome per person). However, they only name one condition explicitly — the second part about 'only those who get approved' hints at selection bias rather than naming a second recommender condition like vast catalog or cheap mistakes. This is stronger than minimal (one condition well-justified) but doesn't reach full partial credit since a clear second condition isn't named.","Spotify works well as a recommender system because it has a lot of plays and skips and data to capture, looking at users' song type history, so based on that, it recommends new songs. Loan approval only generates one outcome per person and only for those who get approved. "
